Name,Task0,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19,Task20,Task21,Task22,Task23,Task24,Task25,Task26,Task27,Task28,Task29,Task30,Task31,Task32,Task33,Task34,Task35,Task36,Task37,Task38,Task39,Task40,Task41,Task42,Task43,Task44,Task45,Task46,Task47,Task48,Task49
W0,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,x,,,x,,,,,,x,x,,,,,x,,,,,x,x
W1,,,,,,,,,,x,,x,,,,,,,,,x,,x,,,,,,x,,,,,x,x,,,x,x,,,,,x,,x,,,,
W2,,,,,,x,,,,,,x,,,,,,,,,x,,,,,,,,,x,x,,,,,,x,,x,,,,x,,,,,,,x
W3,,,x,x,,,,,,,,,,,,,,,,,x,x,,,,x,,x,,,,,x,,,,,,,,,,x,,x,,,x,,
W4,,,,,,x,x,,,,,x,,,,,,,,,,,,x,,,x,,,,,,,,,x,,,,,,x,x,,,,,,,
W5,,,x,,,,x,,,x,,,,,,,,x,,,,x,x,x,,,,,,,,,,,,x,x,,x,,,,,,,x,,,,
W6,,,,,,,,x,x,,x,,,,,,,,x,,,,x,,,,,,x,,x,,,,,x,,x,,x,,x,,,,,,,,x
W7,,x,,,,,,,x,x,,x,,x,,,,x,,x,,,,,,,,,,,,,x,x,,,,,,x,,,,,,,,,,x
W8,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,x,,,x,,,,,,,,,,,x
W9,,,,x,,,x,,,,x,,,x,,x,x,,x,x,,x,,,x,,x,,x,x,,,,,,,,,x,,x,x,x,,,x,,x,,
W10,,x,x,,,,,,x,,,,,,,,,,,,,,,,x,,x,x,,,,,,,,,,x,,,,x,,,,,,,,
W11,,,,x,x,x,,,x,,,,,x,,,,,x,,,,,,x,,,x,,,,,x,,,x,,,,,x,,x,x,,,,,,
W12,x,,,x,x,,,,,,,,x,,,,,x,,,,,x,,,,,,x,,,x,x,,,,x,,x,,,,,,,,,,,
W13,x,,,,,,,,,,,,,,x,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,,,,,,,,
W14,,,,,x,,,x,,,,,,,,x,,,,,,,,x,,,,,,,x,,x,,,,,,x,,,,x,x,,x,,,,
W15,,x,x,,,,,,,,x,,,,,x,,x,x,,,x,x,,x,,,,,x,,,,,,x,,,,x,,,,,,,x,,,
W16,,,,,,,,x,,x,,,,,,,,x,,,,,,,,x,,,x,,,x,,,,x,x,,,x,x,,,,x,,,,x,
W17,,x,x,x,x,,,,x,,,,x,,,,,,x,,x,x,,,,x,,,,,,,,,x,x,,,,,x,,,,,,,,,
W18,,,,,x,,,,,x,x,,,,x,x,,x,,,,x,,,x,,,,,,,,,,x,,,,,,,,,,,,,,,x
W19,,,,,,x,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,x,,,,,,,
W20,,,,,,,,,,,,,,x,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
W21,,,,,,x,,,,,x,,,,,x,,,,x,,,,,,x,,,,,x,,,,,,,,,,,,,x,,,,,,
W22,,,,,,,,,x,,,,,x,,,,,,x,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,
W23,,,x,,,,,,x,,x,,,,x,,,,,,,,,,,x,x,,,,,,,,,,,,,,,x,,,x,x,,x,,
W24,,,x,,,x,,,x,,,,,x,,x,,,,,x,,,x,,,,,,,,x,,,,,,,x,,,,,,,,,,,
