21,20,0
Day,Task0,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Task11,Task12,Task13,Task14,Task15,Task16,Task17,Task18,Task19
1,W0,W1,W4,W2,W6,W5,W3,W8,W7,W0,W9,W1,W5,W2,W4,W6,W0,W8,W3,W9
2,W5,W1,W7,W2,W4,W6,W8,W3,W0,W7,W9,W1,W5,W2,W4,W6,W0,W8,W3,W9
3,W5,W1,W7,W2,W4,W6,W8,W3,W0,W7,W9,W1,W5,W2,W4,W6,W0,W8,W3,W9
4,W5,W1,W7,W2,W4,W6,W8,W3,W0,W7,W9,W1,W5,W2,W4,W6,W0,W8,W3,W9
5,W5,W1,W7,W2,W4,W6,W8,W3,W0,W7,W9,W1,W5,W2,W4,W6,W0,W8,W3,W9
6,W5,W1,W7,W2,W4,W6,W8,W3,W0,W7,W9,W1,W5,W2,W4,W6,W0,W8,W3,W9
7,W5,W1,W7,W2,W4,W6,W8,W3,W0,W7,W9,W1,W5,W2,W4,W6,W0,W8,W3,W9
8,W5,W1,W7,W2,W4,W6,W8,W3,W0,W7,W9,W1,W5,W2,W4,W6,W0,W8,W3,W9
9,W5,W1,W7,W2,W4,W6,W8,W3,W0,W7,W9,W1,W5,W2,W4,W6,W0,W8,W3,W9
10,W5,W1,W7,W2,W4,W6,W8,W3,W0,W7,W9,W1,W5,W2,W4,W6,W0,W8,W3,W9
